#,Theater Name,Location,Type,Screens,Key Screen & Tech,Sound System,Projection,Seating (Approx.),Unique Features / USP
1,AMB Cinemas,Gachibowli (Sarath City Capital Mall),Multiplex,7,Screen 1 (Large Format),Dolby Atmos (All Screens),4K Laser (Barco),"1,600+","M Lounge: VIP section rivals business class. Co-owned by Mahesh Babu. Best washrooms in the city. Hosted India's first HDR screening trial in 2025. Ultra-premium multiplex with disciplined crowd."
2,Prasads Multiplex,Khairatabad (Necklace Road),Multiplex,6,PCX (Screen 6) - 101.6 ft Wide,Dolby Atmos / Dual Audio,Dual 4K Laser (PCX),"2,000+","Largest Screen: Formerly IMAX. The PCX screen is the largest in India. A pilgrimage site for blockbusters. Screens so large they lack generic branding. Hosted a 70mm Oppenheimer revival in 2025. Blockbuster destination."
3,Asian Lakshmikala Cinepride,Moosapet,Multiplex,5,Screen 5 (Largest),Dolby 7.1 / Atmos,2K / 4K Digital,"1,000+","Renovated: Converted from single screen. Parking is tight; users often complain about AC rationing. Fan dances during openings. Popular Asian Cinemas property."
4,ART CINEMAS,Vanasthalipuram (Tattva Mall),Multiplex,6,EPIQ Premium Large Format,Dolby Atmos,4K Laser,"1,200+","EPIQ Screen: 57ft wide screen brought premium PLF to the suburbs. Co-owned by Ravi Teja. Art-themed lobbies. First EPIQ PLF in Hyderabad."
5,PVR: Nexus Mall,Kukatpally,Multiplex,9,PVR Gold Class,Dolby 7.1 / Atmos,2K / 4K Digital,"1,800+","Ad-Heavy: Notorious for 25-30 mins of ads. Primary hub for the KPHB IT/Settler crowd. One of Hyderabad's largest PVRs."
6,AAA Cinemas,Ameerpet,Multiplex,5,LED Screen (Screen 2),Dolby Atmos,4K Laser / LED,"1,000+","LED Tech: Screen 2 uses Samsung Onyx LED (no projector). Co-owned by Allu Arjun on the old Satyam site. Neon lounge. First LED cinema in Telangana."
7,Aparna Cinemas,Nallagandla (Aparna Neo Mall),Multiplex,7,Premium Large Format,Dolby Atmos,4K Laser,"1,200+","New Entrant: Located in Aparna Neo Mall. Known for on-time screenings (fewer ads than PVR). Excellent seating comfort; modern build."
8,Cinepolis: TNR North City,Suchitra,Multiplex,10,Macro XE (Large Format),Dolby Atmos,4K Digital,"1,900+","Megaplex: Brought the first Macro XE screen to North Hyderabad. Massive capacity. Comfortable suburban multiplex."
9,Sree Ramulu 70mm,Moosapet,Single Screen,1,70mm Scope Screen,Dolby 7.1,4K Laser,850,"Petrol Theft: Infamous user review warning about bike petrol theft. Operator uses purple disco lights for songs. Famous FDFS fan celebrations."
10,Bhramaramba 70MM,Kukatpally,Single Screen,1,70mm Large Format,Dolby 7.1,2K Digital,900+,"Record Breaker: Twin to Mallikarjuna. Audio launch hub. If a record breaks in Nizam, it starts here. Part of iconic twin-theatre complex."
11,INOX: GSM Mall,Miyapur,Multiplex,5,Standard INOX Screens,Dolby 7.1,2K Digital,950,"Local Hub: Serves the dense Miyapur residential belt. Known for decent screens but heavy ad loads. Infamous for 40-min ads. 2024 controversy regarding ads. Known for long ad breaks."
12,Cinepolis: Lulu Mall,Kukatpally (Lulu Mall),Multiplex,5,VIP Screens,Dolby Atmos,4K Laser,"1,427","Recliner Heavy: Features planetarium-style recliners. Located in the re-branded Lulu (formerly Manjeera). High footfall mall cinema."
13,MovieMax: AMR,ECIL (AMR Planet Mall),Multiplex,7,Standard Screens,Dolby 7.1,2K / 4K,"1,500+","Rebranded: Formerly Radhika area mall screens. Now features recliners and a live kitchen. Affordable neighborhood multiplex."
14,GPR Multiplex,Nizampet,Multiplex,3,Screen 1 is large,Dolby 7.1,2K Digital,800+,"Budget Plex: Popular with students. Affordable ticket pricing but average maintenance. Popular in Nizampet area."
15,Sandhya 70MM,RTC X Roads,Single Screen,1,70mm Giant Screen,Dolby Atmos,4K Laser,"1,100+","Paper Snowstorms: Fans throw confetti in the laser beam. Epicenter of 4 AM benefit shows. Legendary RTC X Roads crowd."
16,Mallikarjuna 70mm,Kukatpally,Single Screen,1,70mm Large Format,Dolby DTS / 7.1,2K Digital,900+,"The Twin: Adjacent to Brahmaramba. Often plays the 2nd big release or acts as spillover for blockbusters. Night shows extend for hits. Twin of Brahmaramba."
17,Miraj Cinemas: CineTown,Miyapur,Multiplex,3,Screen 1 (Large),Dolby Atmos (Sc 4),2K Digital,900+,"Refurbished: Old CineTown renovated by Miraj. Users praise the balanced bass and new interiors. Good maintenance & sound."
18,Cinepolis: DSL Virtue Mall,Uppal,Multiplex,6,Standard Cinepolis,Dolby 7.1,2K Digital,"1,300","Tiny AF: User reviews frequently criticize the small screen sizes, calling them home theaters. Preferred for VFX films. Preferred East Hyderabad multiplex."
19,PVR: Inorbit,Cyberabad (Madhapur),Multiplex,6,Standard PVR,Dolby 7.1,2K Digital,"1,100","Legacy: One of the oldest multiplexes in IT corridor. Screens are smaller compared to newer malls. Oldest PVR in Hitech City."
20,Gokul 70MM,Erragadda,Single Screen,1,70mm Scope Screen,Dolby DTS,4K Projection,800+,"Tech Survivor: Upgraded to 4K to compete. The only major single screen standing in Erragadda. Showroom tie-ins. Strong neighborhood following."
21,Cinepolis: Mantra Mall,Attapur,Multiplex,5,Standard Cinepolis,Dolby 7.1,2K Digital,"1,200","Attapur Savior: First major multiplex for the Attapur/Mehdipatnam bridge area. Family crowd. Serves Attapur belt."
22,PVR: Next Galleria,Panjagutta,Multiplex,8,Screen 1 & 8 (Large),Dolby Atmos,4K Digital,"1,500+","Metro Connected: Directly linked to Metro. Screen 1 & 8 are cited as having superior projection. Direct metro access."
23,INOX: Sattva Necklace Mall,Kavadiguda,Multiplex,7,Standard INOX,Dolby Atmos,2K/4K,"1,200+","New & Clean: Located near Tank Bund. Praised for fresh interiors and good sound isolation. Blue sofas lobby. One of INOX's best-maintained venues."
24,Asian M Cube Mall,Attapur,Multiplex,3,Screen 1 (Big),Dolby Atmos,2K/4K Laser,800+,"Local Favorite: Competes with Cinepolis Mantra. Known for better mass movie vibes in a multiplex setting. LED lobby displays. First premium multiplex in Attapur."
25,PVR: Atrium,Gachibowli,Multiplex,5,Standard PVR,Dolby 7.1,2K Digital,"1,000","Spillover: Often gets the crowd that can't find tickets at AMB Cinemas nearby. Marathon events. IT crowd oriented."
26,Asian Cinemart,RC Puram,Multiplex,5,Standard Screens,Dolby 7.1,2K Digital,"1,100","New Opening: Opened Jan 2024. Launched by the Hanuman movie team. Main multiplex for RC Puram."
27,Arjun 70MM,Kukatpally,Single Screen,1,70mm Scope,Dolby Digital,2K Digital,800+,"Loud Audio: Known for cranking volume to max for mass songs. Black marketing of tickets reported. Fan cutouts tradition. Classic fan-theatre."
28,INOX: Ashoka One Mall,Kukatpally,Multiplex,5,Screen 1 (Big),Dolby Atmos,4K Laser,"1,000+","Premium Specs: All screens reportedly laser. Located at the busy Y-Junction. Consistent INOX quality."
29,PVR: Preston,Gachibowli,Multiplex,5,Standard PVR,Dolby 7.1,2K Digital,900,"Quiet: Located in a quieter mall, often easier to get tickets here than other IT corridor halls. Less crowded premium option."
30,BR Hitech 70mm,Madhapur,Single Screen,1,70mm Scope,Dolby 7.1,2K Digital,800,"Sold Out Theory: Users suspect they block online tickets to force offline sales/save commission. Hosted a live actor Q&A inside the hall. Old IT-area single screen."
31,PVR: Irrum Manzil,Khairatabad (Irrum Manzil),Multiplex,5,PVR PXL (Large Format),Dolby Atmos,4K Laser,"1,100","PXL Screen: Features a massive curved screen with dual projection. PVR's answer to Prasads. PVR's best large-format screen."
32,PVR ICON: Hitech,Madhapur (Hitech City),Multiplex,5,ICON (Luxury),Dolby Atmos,4K Digital,900,"Controversial: Branded Luxury but users complain screens are very small. Audio calibration is top-tier. Hosted Hyderabad's first Atmos-tuned concert screening. Quiet luxury experience."
33,Asian CineSquare,Uppal,Multiplex,4,Screen 1 (Former Single),Dolby Atmos,4K Digital,950+,"Hybrid: Built on old Rajyalaxmi theater site. Screen 1 retains the massive single-screen size. Revived historic theatre."
34,INOX GVK One,Banjara Hills,Multiplex,5,Boutique Screens,Dolby Atmos,2K Digital,900,"Elite Crowd: Salt & pepper crowd. High ticket prices, gourmet food focus. One of the first INOXs. Posh crowd; aging tech."
35,Sri Sai Ram 70mm,Malkajgiri,Single Screen,1,70mm Scope,Dolby Atmos,4K Laser,800+,"Hidden Gem: Locals rate its AV quality higher than many multiplexes. Renovated recently. Key Malkajgiri theatre."
36,Asian Shiva Ganga,Dilsukhnagar,Multiplex,2,Twin Screens,Dolby 7.1,2K Digital,800+,"Mass Belt: Located in the heart of Dilsukhnagar. Frequent complaints about AC maintenance. Popular in East Hyderabad."
37,Asian Cineplanet,Kompally,Multiplex,2,Screen 1 (Massive),Dolby 7.1,2K/4K,"1,200","800-Seater: Screen 1 has ~801 seats, effectively a single screen inside a multiplex shell. Grand single-screen feel."
38,Sandhya 35mm,RTC X Roads,Single Screen,1,35mm (Name only),Dolby Atmos,4K Digital,800+,"The Sidekick: Smaller than 70mm but shares the same violent fan energy and tech upgrades. Rare Atmos 35mm hall."
39,Cine Town Indra Nagendra,Karmanghat,Single Screen,2,Twin Theaters,Qube Digital,2K Digital,800+,"Ghost House: User reviews describe Nagendra as a ghost house due to emptiness/dilapidation. Neighborhood favorite."
40,INOX: Prism Mall,Gachibowli,Multiplex,4,Standard Screens,Dolby Atmos,2K/4K,800,"IT Hub: Serves the Financial District. Modern, clean, standard corporate multiplex experience. Convenient IT-hub cinema."
41,Sai Ranga 70MM,Miyapur,Single Screen,1,70mm Scope,Dolby 7.1,4K Projection,800,"One Week Run: Movies rotate very fast. Tickets are cheap (~₹50-100). Health-themed promos (due to Nursing home tie). Last big hall in Miyapur."
42,Sudarshan 35MM,RTC X Roads,Single Screen,1,35mm (Name only),Dolby Atmos,4K Laser,"1,065","Deceptive Name: It's fully digital 4K. Reduced seats years ago to install couple seats & legroom. Considered best single screen in Hyderabad."
43,Asian Mukta A2 Sensation,Khairatabad,Multiplex,2,Compact Screens,Dolby Atmos (Sc 2),2K Digital,600,"Sound Quality: Users specifically praise the sound in Screen 2. Located near Lakdikapul metro. Excellent sound calibration."
44,PVR: Musarambagh,Malakpet (MGBS),Multiplex,4,Standard Screens,Dolby 7.1,2K Digital,900,"Transit Hub: Located next to the MGBS bus station. High footfall from transit passengers. Bus + metro connectivity."
45,BVK Multiplex,LB Nagar,Multiplex,3,Converted Single Screen,Dolby 7.1,2K Digital,"1,000+","Cockroaches: Reviews cite poor maintenance despite Multiplex tag. Screen 1 is still very large. Affordable local multiplex."
46,Asian Sha & Shahensha,Chintal,Twin Theaters,2,Standard Screens,Dolby 7.1,2K Digital,800+,"Industrial Zone: Serves Jeedimetla workers. Users report AC being switched off mid-movie. Community groups. Local cultural hub."
47,JP Cinemas,Chandanagar,Multiplex,3,Standard Screens,Dolby Atmos,2K Digital,800,"Neighborhood Plex: Good sound, but often overshadowed by the nearby Asian/Miraj properties. Maruti showroom tie. Comfortable seating."
48,Indra Venkataramana,Kachiguda,Multiplex,2,Padmavati (Large),Dolby 7.1,2K Digital,"1,000+","Heritage: Renamed/Renovated. Combines old-school balcony seating with digital projection. IDBI Bank promos. Very old Kachiguda cinema."
49,PVR: Central Mall,Panjagutta,Multiplex,5,Standard Screens,Dolby 7.1,2K Digital,"1,100","Reliable: One of the oldest PVRs. Known as idiot-proof for its consistency over the years. Heavy footfall."
50,Asian Jyothi,RC Puram,Multiplex,1,70mm Converted,Dolby 7.1,2K Digital,700+,"AC Issues: Frequent complaints of management turning off AC to save power. Opposite TVS Motors. Main RC Puram fan theatre."
51,Miraj Cinemas: A2A,Balanagar (A2A Central Mall),Multiplex,4,Standard Screens,Dolby Atmos,2K Digital,"1,000","Chef Corner: Features live food prep and seat delivery. Luxury island in industrial Balanagar. Well-balanced Miraj property."
52,Miraj Cinemas: Anand,Narsingi (Anand Mall),Multiplex,4,Premium Screens,Dolby Atmos,4K Digital,801,"Luxury: New opening. Features Beanary Café and gold-themed interiors for the rich suburbs. Opened September 2025. Serves fast-growing suburb."
53,Asian Radhika,ECIL,Multiplex,5,Screen 1 (Large),Dolby 7.1,2K/4K,"1,200+","Traffic Jam: The cultural heart of ECIL. Parking entry often blocks the main road. ECIL landmark theatre."
54,Platinum Movietime,Gachibowli (SLN Terminus),Multiplex,5,All Recliners,Dolby 7.1,2K/4K,800,"Recliner Heavy: Took over old Cinepolis space in SLN Terminus. Markets almost every seat as Recliner. 2024 upgrade added haptic seats. Seat-shaking bass. Quiet IT crowd."
55,PVR: RK Cineplex,Banjara Hills,Multiplex,5,Screen 1 (Large),Dolby Atmos,4K Digital,"1,100","Star Owned: Originally owned by Ramanaidu family. Premium location, quiet crowd. Former Cinemax flagship."
56,INOX: Maheshwari,Kachiguda,Multiplex,2,Mall-in-Theater,Dolby 7.1,2K Digital,"1,200+","Unique Build: The mall was built around the old Maheshwari/Parmeshwari theaters. Huge audis. Preserved legacy screens."
57,Devi 70MM,RTC X Roads,Single Screen,1,70mm Scope,Dolby Atmos,4K Laser,900+,"Audiophile: First theater to gross ₹1Cr in AP. Steep balcony for perfect sightlines. Perfect sound. Legendary sound quality."
58,Asian Rajya Lakshmi,Uppal,Multiplex,1,Part of CineSquare,Dolby 7.1,2K Digital,400+,"Legacy Name: Often referred to interchangeably with Asian CineSquare or as a specific screen within it. Indane Gas service tie. Strong fan following."
59,UK Cineplex,Nacharam,Multiplex,4,Standard Screens,Dolby Atmos,Laser Projection,900,"Modern: Brought laser projection and Atmos to the industrial Nacharam area. Budget-friendly."
60,Tivoli Cinemas,Secunderabad,Multiplex,3,Extreme Screen,Dolby 7.1 Extreme,2K Digital,900,"Audio Bleed: Users report sound leaking between screens. Extreme screen is the highlight. Military ties. Busy Secunderabad multiplex."
61,Cinepolis: CCPL Mall,Malkajgiri,Multiplex,5,Standard Cinepolis,Dolby 7.1,2K Digital,"1,000","Cleanliness: Praised for hygiene in a dense residential area. Standard Cinepolis quality. Good acoustics."
62,Miraj: Shalini Shivani,Kothapet,Multiplex,4,Twin Conversion,Dolby Atmos,2K Digital,"1,000+","Transformation: The legendary Shalini/Shivani twins converted into a modern Miraj multiplex. Revived classic."
63,Asian Tarakarama,Kachiguda,Single Screen,1,70mm Scope,Dolby 7.1,4K Digital,800+,"Budget Luxury: Cheat Code theater offering recliner seats at single-screen prices. Historic Tarakarama revival."
64,INOX: SMR Vinay,Miyapur (SMR Vinay Metro Mall),Multiplex,4,Standard INOX,Dolby Atmos,2K Digital,800,"New: Located in a new mall. Good sound isolation and modern projection. Direct metro access."
65,Asian Super Cinema,Balapur,Single Screen,1,70mm Scope,Dolby Digital,2K Digital,700+,"Loud: Reviews claim sound is so loud it can be heard outside the building."
66,Vijetha 70MM,Borabanda,Single Screen,1,70mm Scope,Dolby Atmos,4K Projection,800,"Surprise Tech: Deep in a residential colony but sports 4K Atmos specs. Rare Atmos single-screen."
67,Alankar (Pratap),Langer House,Single Screen,1,70mm Scope,Dolby 7.1,Digital,722,"Student Hub: Renamed from Pratap. Serves the engineering college belt. Steep balcony. Old City icon."
68,Miraj Cinemas: Geeta,Chandanagar,Multiplex,3,Converted Single,Dolby 7.1,2K Digital,800,"Hybrid: Retains the local name Geeta but managed by Miraj standards. Modernized legacy cinema."
69,Cinepolis: Sudha,Bahadurpura (Old City),Multiplex,4,Converted Single,Dolby 7.1,3D / 2K,900,"Old City Entry: Rare global chain presence in the Old City. Taking over the old Sudha theater. Old City favorite."
70,Movietime: SKY Mall,Erragadda,Multiplex,3,Standard Screens,Dolby 7.1,2K Digital,700,"Average: Standard mall multiplex. Often less crowded than PVRs. Czech Colony vibes. Balanced AV quality."
71,Miraj: Raghavendra,Malkajgiri,Single Screen,1,Renovated Single,Dolby 7.1,2K Digital,700,"Hygiene: Praised for cleanliness after Miraj takeover, a major issue in its previous avatar. Neighborhood staple."
72,VLS Sridevi,Chilakalguda,Single Screen,1,2K Digital,DTS Sound,2K Digital,700,"Budget: Serves the railway colony area. Basic digital projection. Secunderabad local crowd."
73,Bhujanga 70MM,Jeedimetla,Single Screen,1,70mm Scope,Dolby Digital,Digital,800,"Smell Issues: Users specifically complain about a bad smell upon entry. Mass crowd. Working-class fan culture."
74,Vyjayanthi Cinema,Nacharam,Single Screen,1,70mm Scope,Dolby 7.1,2K Digital,800,"Student Favorite: Popular with Osmania University students. Praised for fragrance (rare!). Nacharam landmark."
75,Talluri Theatres,Kushaiguda,Multiplex,3,T-Square,Dolby Atmos,2K Digital,900,"Hidden Plex: A modern multiplex hidden inside a traditional neighborhood complex. Small loyal audience."
76,Ramakrishna Glitterati,Abids,Single Screen,1,Heritage 70mm,Dolby 7.1,Digital,700+,"Rebranded: Glitterati tag attempts to upscale this heritage theater. Operated by Mukta A2. Part of legendary RK group."
77,Prashant Cinema,Secunderabad,Single Screen,1,Renovated,Dolby 7.1,Digital,700,"Renovated: Recently upgraded interiors. Located near the Passport office. Recently renovated."
78,Asian Mukund,Medchal,Single Screen,1,70mm Scope,Dolby 7.1,2K Digital,600,"Highway Hub: Saves Medchal locals from driving 15km to Kompally. Medchal's main cinema."
79,Rama Krishna 70mm,Abids,Single Screen,1,70mm Scope,Dolby 7.1,Digital,800+,"The Original: The classic screen, distinct from the Glitterati rebrand/renovation. One of Hyderabad's most iconic cinemas."
80,Sushma 70MM,Vanasthalipuram,Single Screen,1,70mm Scope,Dolby Digital,2K Digital,800,"Decaying: Needs renovation. Paint vanished. Early adopter of PayTm ticketing. Local favorite."
81,Sri Krishna 70MM,Uppal,Single Screen,1,70mm Scope,Dolby 7.1,Digital,800,"Mosquitoes: User reviews praise sound but complain heavily about mosquitoes. Major Uppal fan theatre."
82,Connplex Cinemas,Banjara Hills (MPM Mall),Boutique,3,Smart Theater,Dolby Surround,2K Digital,170,"Private: Ultra-small screens (one has 37 seats). Designed for private parties/rentals. Upscale crowd."
83,Laxmi 70MM,Shamshabad,Single Screen,1,70mm Scope,DTS Sound,Laser Projection,800,"Airport Hub: Key entertainment for airport staff. Renovated with Amazon cement tiles. Rare laser upgrade near airport."
84,Lakshmi Kala Mandir,Alwal,Single Screen,1,70mm Scope,Dolby 7.1,UFO / 2K,889,"Capacity: Massive seating capacity. Competes with Cineplanet on price. Classic Alwal cinema."
85,Sree Ramana Gold,Amberpet,Single Screen,1,70mm Scope,Dolby 7.1,4K Projection,800,"Gold Upgrade: The 70mm screen is branded Gold to highlight 4K tech. No snacks (only chips). Modernized version."
86,Sree Ramana 70MM,Amberpet,Single Screen,1,70mm Scope,Dolby 7.1,Digital,800,"Standard: The base version of the theater, often confused with Gold. Fan celebrations hub."
87,Anjali Movie Max,Secunderabad,Single Screen,1,Renovated,Dolby Digital,Digital,600,"Interruptions: Users complain about frequent pauses/interruptions during shows. Affordable option."
88,Sri Prema 70MM,Tukkuguda,Single Screen,1,70mm Scope,Dolby Digital,Qube Digital,800,"Ad Revenue: High ad engagement. Serves Srisailam highway/Airport corridor. Key Tukkuguda cinema."
89,Aradhana Theatre,Tarnaka (Inner Ring Road),Single Screen,1,70mm Scope,Dolby 7.1,Digital,900,"Vintage: Classic 70mm that refused to split. Popular with OU students. Residential-area staple."
90,Metro Cinema,Bahadurpura,Single Screen,1,70mm Scope,Dolby Digital,Digital (Low End),800,"Black & White: Projection bulb so dim users say color movies look B&W. Old city vibe. Old City budget cinema."
91,Saptagiri 70MM,RTC X Roads,Single Screen,1,70mm Scope,Dolby Digital,4K Projection,900,"The Survivor: Overshadowed by Sandhya/Devi but installed 4K to stay relevant. RTC overflow giant."
92,Santosh Theatre,Ibrahimpatnam,Single Screen,1,Standard,Dolby Digital,Digital,600,"Rowdy: Security issues reported (drunken people). Far outskirts. Primary local cinema."
93,Venkata Sai AC,Keesara,Single Screen,1,Newly Renovated,Dolby Atmos,Digital,500,"Border Post: Brings AC cinema to the extreme outskirts, replacing touring talkies. Recently upgraded."
94,ROONGTA CINEMAS: NOVUM,Nampally,Boutique,2,Premium,Dolby Atmos,2K Barco,300,"Live Kitchen: North Indian chain's debut. Features a live kitchen to gentrify Nampally. Opened December 19, 2025. New-age boutique multiplex."
95,Allu Cinemas,Kokapet,Multiplex (Upcoming),4,Country's Largest Dolby Cinema,Dolby Cinema,Laser,TBA,"Future: 4 screens with country's largest Dolby Cinema. Expected January 2026 (tied to Avatar release)."
96,PVR INOX: Odeon Mall,RTC X Roads,Multiplex (Upcoming),8,TBA,TBA,TBA,TBA,"Future: 8 screens at RTC X Roads (Odeon Mall). Opening by January 2026."
97,PVR INOX: Lakeshore Mall,Kukatpally,Multiplex (Upcoming),9,Premium Options,TBA,TBA,TBA,"Future: 9 screens with premium options at Lakeshore Mall. By January 2026."
98,Multiplex: Aparna Mall,Shamshabad,Multiplex (Upcoming),7,TBA,TBA,TBA,TBA,"Future: 7 screens at Aparna Mall, Shamshabad. March 2026."